commit_or_run_id	stage	model_family	feature_lane	cv_mae	cv_mae_std	validation_mae	runtime_seconds	status	params_summary	description
20260507-200237-smoke-tier1_strong_solo	smoke	xgboost_v2	tier1_strong_solo	58757.975248	4788.771721		28.417053	keep	single_knob=tier1_strong_solo	Stage 1 smoke iter1: 4 cols with strongest solo signal (single-col CV MAE improvement >3500 vs median baseline 92674)
20260507-200404-smoke-tier2_mid_solo	smoke	xgboost_v2	tier2_mid_solo	70155.780588	5476.890917		38.773262	keep	single_knob=tier2_mid_solo	Stage 1 smoke iter2: 4 cols with mid-tier solo signal (single-col CV MAE improvement 0-1400 vs median baseline 92674). Disjoint from tier1.
20260507-200607-smoke-tier3_weak_solo	smoke	xgboost_v2	tier3_weak_solo	64405.689854	4931.599640		41.335302	keep	single_knob=tier3_weak_solo	Stage 1 smoke iter3: long-tail of weak/negative solo cols; tests compositional signal. Excludes constants and transaction_date.
20260507-200956-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	55576.540627	4420.459103		37.389349	keep	single_knob=add_commune_first	Deepen iter1: + commune_first (first token of commune_codes) as native xgboost categorical
20260507-201108-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	53274.567452	4604.199760		42.142007	keep	single_knob=add_cadastral_first	Deepen iter2: + cadastral_first (first token) as native cat. Carry: commune_first.
20260507-201223-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	52889.468612	4455.238757		89.023827	keep	single_knob=add_transaction_type	Deepen iter3: + transaction_type as native cat. Carry: commune_first, cadastral_first.
20260507-201439-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	50676.451513	4339.200658		70.669384	keep	single_knob=add_land_lots_premises	Deepen iter4: + land_area, num_lots, num_premises. Carry: tier1 + commune_first + cadastral_first + transaction_type.
20260507-201632-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	50478.413750	4444.512754		46.921759	keep	single_knob=add_entity_counts	Deepen iter5: + entity counts (num_houses, num_apartments, num_commercial).
20260507-201801-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	50441.160633	4529.044438		54.954694	keep	single_knob=add_room_layout_cluster	Deepen iter6: + room layout cluster as one knob (all area_house_*, num_house_*, area_apt_*, num_apt_*, plus apartment_area, num_house_5plus_rooms).
20260507-201943-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	49715.844108	4667.817296		54.246574	keep	single_knob=add_date_ordinal	Deepen iter7: + date_ordinal.
20260507-202118-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	49393.961319	4753.166420		56.409370	keep	single_knob=log1p_target	Deepen iter8: log1p target wrap; predict in log space, inverse with expm1.
20260507-202310-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	49264.603537	4944.637882		73.360983	keep	single_knob=add_ratios	Deepen iter9: + built_per_premise, land_per_lot, commercial_share, apt_share, houses_per_premise.
20260507-202514-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	49424.338944	4721.357091		70.269298	revert	single_knob=add_commune_te20	Deepen iter10: + commune_first_target_enc (smoothed mean, smooth=20). Encoder fit on train fold; applied to val. commune_first kept as native cat too.
20260507-202806-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	49392.604199	4927.593822		85.621580	revert	single_knob=max_depth_8	Stage 3 tune iter1: max_depth=8 (was 6); deeper trees on top of W (deepen iter9).
20260507-203005-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	50487.644934	4904.279071		49.692055	revert	single_knob=max_depth_4	Stage 3 tune iter2: max_depth=4 (was 6); shallower.
20260507-203130-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	49176.770676	5039.636467		123.216814	revert	single_knob=lr03_nest1000	Stage 3 tune iter3: lr=0.03 + n_est=1000 (capacity_pair: paired tweak; effective compute similar).
20260507-203406-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	49660.529694	5204.301892		74.578448	revert	single_knob=mcw2	Stage 3 tune iter4: min_child_weight=2 (was 5); less leaf regularization.
20260507-203601-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	49369.593419	4965.807292		68.745308	revert	single_knob=mcw10	Stage 3 tune iter5: min_child_weight=10.
20260507-203740-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	49694.021848	5012.895660		63.940582	revert	single_knob=subsample06	Stage 3 tune iter6: subsample=0.6.
20260507-203913-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	49154.006497	4961.937821		61.793846	keep	single_knob=colsample06	Stage 3 tune iter7: colsample_bytree=0.6.
20260507-204049-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	49707.909867	4926.934498		67.364948	revert	single_knob=colsample10	Stage 3 tune iter8: colsample_bytree=1.0; test other direction.
20260507-204228-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	49308.867938	5002.648635		53.819106	revert	single_knob=lambda5	Stage 3 tune iter9: reg_lambda=5.0; more L2 reg.
20260507-204354-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	49390.144266	4911.644713		49.936615	revert	single_knob=alpha1	Stage 3 tune iter10: reg_alpha=1.0; add L1 reg.
20260507-204541-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	51038.332708	4928.899342		49.236805	ablate	ablate_a1=drop_commune_first	Ablate a1: LOO remove commune_first from cats; test if it is load-bearing.
20260507-204702-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	50523.148703	4729.411388		46.263495	ablate	ablate_a2=drop_cadastral_first	Ablate a2: LOO remove cadastral_first.
20260507-204822-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	50780.583048	5035.565693		46.261220	ablate	ablate_a3=drop_land_lots_premises	Ablate a3: LOO drop the 3 raw count/area cols added in deepen iter4.
20260507-204944-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	49324.444766	4667.493784		48.499048	ablate	ablate_a4=revert_log1p	Ablate a4: LOO disable log1p target wrap.
20260507-205107-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	49399.633751	4613.646202		47.932772	ablate	ablate_a5=drop_date_ordinal	Ablate a5: LOO drop date_ordinal.
20260507-205244-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	50298.596370	4492.976338		49.325624	ablate	ablate_a6=drop_log1p_and_date	Ablate a6: combined removal of log1p target wrap AND date_ordinal feature; verify simplified W''.
20260507-205423-deepen-tier1_strong_solo	deepen	xgboost_v2	tier1_strong_solo	49247.426800	4450.305769		53.662787	confirm	confirm_seed2026	Stage 4 confirm seed=2026 of W' (tune_iter7 colsample=0.6 + all kept knobs).
