commit_or_run_id	stage	model_family	feature_lane	cv_mae	cv_mae_std	validation_mae	runtime_seconds	status	params_summary	description
20260509-214323-smoke-v7_plus_cadastral_counts	smoke	xgboost_v8	v7_plus_cadastral_counts	48468.888453	4727.278732		1083.617355	keep	smoke_laneA_add_cadastral_counts	Smoke laneA: extend numeric scope by adding 4 omitted cadastral counts (num_parcels, num_sections, num_communes, num_dependencies) on top of v7 promoted recipe. Single feature knob.
20260509-214332-smoke-v7_plus_room_density	smoke	xgboost_v8	v7_plus_room_density	48002.727808	5199.547985		756.335006	keep	smoke_laneB_room_area_density_ratios	Smoke laneB: add 10 avg-area-per-room ratios (apt+house x 5 buckets) on top of v7 promoted recipe. Single feature knob.
20260509-214336-smoke-v7_minus_sparse_rooms	smoke	xgboost_v8	v7_minus_sparse_rooms	48236.725737	5068.729435		641.066951	keep	smoke_laneC_drop_sparse_room_layout	Smoke laneC: drop 8 sparse 1-room/2-room layout columns from v7 promoted recipe. Single feature knob.
20260509-224734-deepen-v8_b_density_restored	deepen	xgboost_v8	v8_b_density_restored	48040.806878	5087.465593		1943.306104	keep	deepen_iter1_b_density_restored	Deepen iter1: restore capacity (n_est 4000->8000, top_k 10->15) on lane B (room_area_density_ratios) winner. Establishes restored-capacity reference for v8 deepen anchor.
20260509-232317-deepen-v8_drop_density	deepen	xgboost_v8	v8_drop_density	47978.894093	4784.971381		1488.138344	keep	deepen_iter2_drop_density	Deepen iter2: discard direction. DROP all 10 room_area_density_ratios from iter1's NUMERIC_COLUMNS. Single feature knob. Tests whether iter1's +1733 regression vs v7 promoted is attributable to those 10 columns. Also confirms v7-promoted reproducibility under v8 family pipeline.
20260509-235345-deepen-v8_drop_sparse_rooms	deepen	xgboost_v8	v8_drop_sparse_rooms	48461.879913	5025.829976		1247.034438	keep	deepen_iter3_drop_sparse_rooms	Deepen iter3: anchored on iter2 (v7-equivalent). DROP 8 sparse 1-room/2-room raw cols (num_apt_1_room, area_apt_1_room, num_apt_2_rooms, area_apt_2_rooms, num_house_1_room, area_house_1_room, num_house_2_rooms, area_house_2_rooms). Single feature knob.
20260510-004926-deepen-v8_drop_sparse_plus_cadastral	deepen	xgboost_v8	v8_drop_sparse_plus_cadastral	48492.171260	4846.088503		1285.130610	keep	deepen_iter4_add_cadastral	Deepen iter4: anchored on iter3 (drop sparse + no density). ADD num_parcels, num_sections, num_communes, num_dependencies. Single feature knob from iter3.
20260510-011240-deepen-v8_drop_const_cats	deepen	xgboost_v8	v8_drop_const_cats	48302.653328	5259.363435		1301.231541	keep	deepen_iter5_drop_const_cats	Deepen iter5: pivot back to family-best iter2 anchor. DROP dept_code and region_code from CATEGORICAL_COLUMNS (CLAUDE.md flags both as constant in training; they only add encoding overhead with no decision splits).
20260510-013543-deepen-v8_log_skewed	deepen	xgboost_v8	v8_log_skewed	47978.894093	4784.971381		1301.697872	keep	deepen_iter6_log_skewed	Deepen iter6: anchored on family-best iter2. Replace built_area, land_area, house_area, apartment_area with their log1p variants in NUMERIC_COLUMNS. Single preprocessing knob. Tests whether log spacing maps long-tailed area distributions onto more uniform hist-bin density.
20260510-015847-deepen-v8_presence_flags	deepen	xgboost_v8	v8_presence_flags	47963.501368	4952.186361		1323.437211	keep	deepen_iter7_presence_flags	Deepen iter7: anchored on iter6 (=iter2). ADD 5 binary presence flags (has_apartments, has_houses, has_commercial, has_dependencies, has_lots). Single feature knob.
